Order, Trial, TRep, TColor, TRepCount, TOrient, TLoc, Subject, Block, Reward, HighRewardRepCount, LowRewardRepCount, Response, Accuracy, RT, ScanStartHour, ScanStartMin, ScanStartSec, Hour, Min, Sec, ElapsedTime, SOA
      2,       1,       0,       2,       0,       2,       6,    1991,       1,       0,       0,       0,       2,       1, 870.7132, 21.0000, 59.0000, 26.9705, 21.0000, 59.0000, 28.1022, 1133.8770, 0.8548
     15,       2,       1,       2,       1,       2,       5,    1991,       1,       0,       0,       0,       2,       1, 641.1843, 21.0000, 59.0000, 26.9705, 21.0000, 59.0000, 30.1032, 3134.8879, 0.9814
      5,       3,       1,       2,       2,       1,       5,    1991,       1,       0,       0,       0,       1,       1, 514.6773, 21.0000, 59.0000, 26.9705, 21.0000, 59.0000, 31.5872, 4618.8281, 0.7074
      1,       4,       1,       2,       3,       1,       3,    1991,       1,       0,       0,       0,       1,       1, 696.4524, 21.0000, 59.0000, 26.9705, 21.0000, 59.0000, 33.1709, 6202.5669, 0.9247
     13,       5,       1,       2,       4,       1,       2,    1991,       1,       0,       0,       0,       1,       1, 795.7966, 21.0000, 59.0000, 26.9705, 21.0000, 59.0000, 34.2380, 7269.6419, 0.2097
      6,       6,       2,       1,       0,       2,       3,    1991,       1,       0,       0,       0,       2,       1, 820.6024, 21.0000, 59.0000, 26.9705, 21.0000, 59.0000, 36.1057, 9137.3150, 0.9216
     14,       7,       1,       1,       1,       2,       1,    1991,       1,       0,       0,       0,       2,       1, 668.9165, 21.0000, 59.0000, 26.9705, 21.0000, 59.0000, 37.8562, 10887.9359, 0.7828
     17,       8,       2,       2,       0,       2,       1,    1991,       1,       0,       0,       0,       2,       1, 780.6892, 21.0000, 59.0000, 26.9705, 21.0000, 59.0000, 39.0065, 12038.1649, 0.3325
     10,       9,       2,       1,       0,       2,       2,    1991,       1,       0,       0,       0,       2,       1, 759.6924, 21.0000, 59.0000, 26.9705, 21.0000, 59.0000, 40.3403, 13371.9959, 0.4024
      4,      10,       2,       2,       0,       2,       2,    1991,       1,       0,       0,       0,       2,       1, 504.6937, 21.0000, 59.0000, 26.9705, 21.0000, 59.0000, 42.0247, 15056.3629, 0.7762
      7,      11,       1,       2,       1,       2,       1,    1991,       1,       0,       0,       0,       2,       1, 689.7326, 21.0000, 59.0000, 26.9705, 21.0000, 59.0000, 43.4583, 16489.9580, 0.7886
     11,      12,       2,       1,       0,       1,       2,    1991,       1,       0,       0,       0,       1,       1, 495.6477, 21.0000, 59.0000, 26.9705, 21.0000, 59.0000, 44.9256, 17957.2959, 0.6280
      3,      13,       2,       2,       0,       1,       2,    1991,       1,       0,       0,       0,       1,       1, 566.5174, 21.0000, 59.0000, 26.9705, 21.0000, 59.0000, 45.8092, 18840.8959, 0.2326
     18,      14,       1,       2,       1,       1,       5,    1991,       1,       0,       0,       0,       1,       1, 682.5473, 21.0000, 59.0000, 26.9705, 21.0000, 59.0000, 47.5101, 20541.7290, 0.9793
      9,      15,       1,       2,       2,       1,       3,    1991,       1,       0,       0,       0,       1,       1, 675.5717, 21.0000, 59.0000, 26.9705, 21.0000, 59.0000, 48.6103, 21641.9671, 0.2759
     12,      16,       1,       2,       3,       2,       6,    1991,       1,       0,       0,       0,       2,       1, 493.1867, 21.0000, 59.0000, 26.9705, 21.0000, 59.0000, 49.7441, 22775.8329, 0.3305
     16,      17,       2,       1,       0,       2,       5,    1991,       1,       0,       0,       0,       2,       1, 749.7106, 21.0000, 59.0000, 26.9705, 21.0000, 59.0000, 50.9279, 23959.5730, 0.5581
      8,      18,       1,       1,       1,       1,       2,    1991,       1,       0,       0,       0,       1,       1, 622.2355, 21.0000, 59.0000, 26.9705, 21.0000, 59.0000, 52.2284, 25260.0501, 0.4044
     20,      19,       1,       1,       2,       1,       3,    1991,       1,       0,       0,       0,       1,       1, 620.6114, 21.0000, 59.0000, 26.9705, 21.0000, 59.0000, 53.3624, 26394.0580, 0.3777
     19,      20,       2,       2,       0,       2,       2,    1991,       1,       0,       0,       0,       2,       1, 581.8286, 21.0000, 59.0000, 26.9705, 21.0000, 59.0000, 54.2795, 27311.1179, 0.1310
